layer,segment,company,ticker,one_year_pct,nvidia_link,bottleneck,pricing_power,visibility,opportunity_score,valuation_heat,substitution_or_overcapacity,profit_conversion_risk,risk_score,bucket,key_next_question
Anchor,GPU/AI platform,NVIDIA,NVDA,58,5,5,5,5,20,4,3,2,9,A,"AI capex can keep compounding without margin compression?"
First,HBM,SK Hynix,000660.KS,1042,5,5,5,5,20,5,3,2,10,A,"HBM ASP and share can hold after 2026 capacity additions?"
First,HBM/storage,Micron,MU,941,4,4,4,4,16,5,4,3,12,A-,"HBM ramp can overcome normal memory-cycle volatility?"
First,HBM/storage,Samsung Electronics,005930.KS,546,4,4,3,3,14,4,3,3,10,B+,"HBM qualification/share gains are real or only catch-up narrative?"
First,Foundry/CoWoS,TSMC,TSM,126,5,5,5,5,20,4,2,1,7,A,"CoWoS and leading-edge capacity remain tight through next cycle?"
First,OSAT/advanced packaging,ASE Technology,ASX,329,3,3,3,3,12,4,3,3,10,B,"Advanced packaging adds margin or just volume?"
First,OSAT/advanced packaging,Amkor,AMKR,301,3,3,3,3,12,4,3,3,10,B,"Customer mix and advanced packaging margin can improve?"
First,Optical modules,Lumentum,LITE,1225,5,5,4,4,18,5,4,4,13,A-/Hot,"AI optical demand can support this re-rating without ASP collapse?"
First,Optics/lasers,Coherent,COHR,430,5,5,4,4,18,5,3,3,11,A-,"Datacenter & comms mix and NVIDIA optics partnership can lift margins?"
First,Optical manufacturing,Fabrinet,FN,192,4,4,3,4,15,4,3,4,11,B+,"Manufacturing-service model can capture enough economics?"
First,Optical modules China,Innolight,300308.SZ,1288,5,5,4,4,18,5,4,4,13,A-/Hot,"Order visibility and gross margin justify extreme rerating?"
First,Optical modules China,Eoptolink,300502.SZ,823,5,5,4,4,18,5,4,4,13,A-/Hot,"1.6T/800G mix can keep margin and revenue surprising?"
First,Optical components China,TFC Communication,300394.SZ,751,4,4,4,3,15,5,4,4,13,B+/Hot,"Component scarcity remains, or module supply chain commoditizes?"
First,ASIC/networking,Broadcom,AVGO,89,5,5,5,5,20,4,2,2,8,A,"AI semiconductor revenue growth and custom ASIC wins continue?"
First,Interconnect/custom silicon,Marvell,MRVL,368,5,4,4,4,17,5,3,3,11,A-,"AI bookings convert into revenue/FCF without margin disappointment?"
First,AI networking,Arista,ANET,86,4,4,4,4,16,3,2,2,7,A-,"Large cloud customers keep spending on Ethernet AI fabrics?"
First,AI servers,Dell,DELL,289,4,3,2,5,14,4,2,5,11,B+,"AI server revenue converts into profit and cash, not just pass-through sales?"
First,AI servers,HPE,HPE,217,4,3,2,4,13,4,2,5,11,B,"Margin and integration risk vs headline AI orders?"
First,AI servers,Super Micro,SMCI,16,4,3,2,3,12,3,2,5,10,B-/Special,"Governance trust and cash conversion recover?"
First,Taiwan ODM,Foxconn,2317.TW,112,4,3,2,4,13,3,2,4,9,B,"AI server scale improves margin or remains manufacturing spread?"
First,Taiwan ODM,Quanta,2382.TW,62,4,3,2,4,13,3,2,4,9,B,"Cloud AI server mix sustains without margin dilution?"
First,Taiwan ODM,Wistron,3231.TW,81,4,3,2,4,13,3,2,4,9,B,"AI assembly volume turns into durable ROIC?"
First,Cloud server ODM,Wiwynn,6669.TW,134,4,3,3,4,14,4,2,4,10,B+,"High-value cloud server exposure offsets customer concentration?"
First,Power/thermal,Delta Electronics,2308.TW,554,4,4,4,4,16,5,2,3,10,A-,"Power and thermal margins hold after massive rerating?"
First,Power/cooling,Vertiv,VRT,198,4,4,4,5,17,4,2,3,9,A-,"Backlog converts into FCF without execution bottlenecks?"
First,Thermal management,Modine,MOD,231,3,4,3,3,13,4,3,3,10,B+,"Liquid cooling growth is structural or cyclical re-rating?"
First,Electrical infra,Eaton,ETN,30,3,3,4,4,14,3,1,2,6,A-/Slow,"Data center power demand compounds inside a diversified industrial?"
First,Electrical infra,Schneider Electric,SU.PA,27,3,3,4,4,14,3,1,2,6,A-/Slow,"Data center electrification keeps driving organic growth?"
Second,Hyperscale/AI customer,Alphabet,GOOGL,119,3,3,4,3,13,4,2,3,9,A-,"AI capex improves Search/Cloud economics rather than only spending?"
Second,Hyperscale/AI customer,Oracle,ORCL,46,4,3,3,4,14,4,2,4,10,B+,"AI cloud backlog quality and debt-funded capex stay manageable?"
Second,Hyperscale/AI customer,Amazon,AMZN,25,3,3,4,3,13,3,2,3,8,A-,"AWS AI revenue and margins reaccelerate?"
Second,Hyperscale/AI customer,Microsoft,MSFT,-4,3,3,5,4,15,3,2,3,8,A,"Copilot/Azure AI monetization offsets capex and depreciation?"
Second,Hyperscale/AI customer,Meta,META,-10,3,3,4,3,13,3,2,4,9,B+,"AI capex translates into ads/recommendation ROI fast enough?"
Second,AI cloud,Nebius,NBIS,599,4,3,2,3,12,5,3,5,13,Speculative,"Capital access and utilization prove business model?"
Second,AI cloud,CoreWeave,CRWV,-21,5,4,2,4,15,4,3,5,12,Speculative,"Debt, depreciation, customer concentration and utilization risk?"
Second,Auto/robotics partner,Hyundai Motor,005380.KS,308,2,2,3,2,9,4,2,3,9,Thematic,"AI/robotics partnership becomes profit or remains narrative?"
